Ix,t,l,g.300.41N.0W,g.300.42N.0W,g.300.41N.1E,g.300.42N.1E,g.300.45N.5E,g.300.35N.5E,g.300.45N.10W,g.300.35N.10W,g.500.41N.0W,g.500.42N.0W,g.500.41N.1E,g.500.42N.1E,g.500.45N.5E,g.500.35N.5E,g.500.45N.10W,g.500.35N.10W,g.700.41N.0W,g.700.42N.0W,g.700.41N.1E,g.700.42N.1E,g.700.45N.5E,g.700.35N.5E,g.700.45N.10W,g.700.35N.10W,trend,Ix.lag1
0,1,54,94823.59,94760.56,94762.67,94680.1,93321.22,94845.625,94805.2,93946.54,57789.766,57688.723,57718.3,57609.492,56563.06,57979.54,57958.527,57523.04,31179.613,31111.102,31109.342,31041.348,30358.088,31469.393,31623.803,31201.553,-Inf,0
0,1,55,94453.84,94361.31,94484.305,94387.75,93771.24,95022.26,94100.76,93872.78,57720.31,57659.547,57719.773,57648.305,57150.582,58177.344,57478.605,57506.844,31326.572,31286.314,31289.832,31257.543,30886.832,31561.293,31221.734,31158.81,-Inf,0
0,1,56,93728.71,93658.21,93746.15,93665.11,93370.08,94931.07,93911.09,94218.195,57490.383,57366.855,57477.133,57352.133,56980.348,58120.2,57274.38,57687.918,31324.295,31234.05,31304.53,31219.768,30784.271,31568.021,31067.014,31252.574,-Inf,0
0,1,57,94180.84,94112.83,94112.83,94005.734,92873.69,94639.67,94699.26,94278.734,57523.707,57411.02,57469.24,57356.953,56472.453,57936.98,57727.535,57571.484,31301.424,31200.932,31254.645,31142.148,30459.201,31550.635,31326.676,31146.393,-Inf,0
0,1,58,94562.47,94466.3,94533.35,94425.3,93541.92,94717.45,94073.37,93769.9,57662.223,57583.13,57624.75,57538.695,56749.22,57856.15,57319.883,57238.645,31150.531,31043.52,31095.783,31007.607,30434.777,31341.062,30943.34,30923.78,-Inf,0
0,1,59,93544.8,93416.82,93718.75,93561.84,93719.33,94872.83,92452.21,93946.34,57108.293,57016.215,57227.27,57136.26,57113.242,57962.008,56068.55,57284.95,30871.205,30818.01,30950.998,30883.934,30800.002,31414.23,30133.51,30836.018,-Inf,0
0,1,60,93051.86,92827.516,93187.88,92953.01,93041.516,94954.44,90920.53,94132.375,56812.656,56661.16,56868.332,56707.062,56680.43,58114.176,55393.902,57466.426,30707.79,30627.996,30708.72,30646.729,30653.975,31561.293,29901.479,31130.246,-Inf,0
0,1,61,93069.87,92538.234,93248.23,92825.8,92746.29,95021.305,90973.79,94544.84,56652.324,56397.11,56758.855,56501.63,56423.34,58230.88,55666.383,57784.01,30658.217,30531.025,30691.438,30573.25,30483.21,31649.262,30140.443,31377.697,-Inf,0
0,1,62,93142.48,92806.06,93101.09,92723.11,91053.49,94611.516,93169.49,94651.555,56886.8,56618.867,56832.867,56562.793,55752.57,57979.54,56733.562,57867.254,30829.705,30702.719,30815.525,30682.02,30225.72,31533.041,30664.012,31225.77,-Inf,0
0,1,63,93525.83,93200.336,93443.26,93108.375,92010.81,94598.87,92819.86,94785.27,57205.59,57014.88,57161.69,56955.188,56048.34,58030.13,56759.66,57927.344,30993.43,30872.861,30964.658,30839.846,30321.14,31601.863,30766.885,31228.15,-Inf,0
0,1,64,93468.35,93149.76,93548.24,93244.4,92222.89,94711.33,91585.89,94235.25,57049.54,56878.234,57089.824,56908.08,56208.54,58029.996,55840.23,57520.76,30835.396,30731.387,30856.613,30740.908,30262.875,31531.902,30132.371,31073.637,-Inf,0
0,1,65,92783.07,92558.16,92963.54,92796.1,92548.58,94960.57,91304.08,93819.71,56436.59,56288.57,56583.27,56426.816,56398.58,58026.516,55675.082,57134.79,30419.977,30360.986,30486.42,30409.213,30457.441,31478.19,30013.975,30768.23,-Inf,0
0,1,66,92570.42,92040.89,92672.53,92118.484,91613.48,94978.01,91793.945,94188.89,56367.13,56148.582,56393.094,56164.64,55839.695,58019.156,56012.61,57438.188,30351.258,30241.348,30329.523,30213.303,30030.533,31391.566,30318.555,31020.027,-Inf,0
0,1,67,93055.69,92719.27,93109.72,92769.664,92136.11,94921.68,91466.73,93813.77,56748.953,56559.445,56793.92,56598.258,56217.24,58204.78,55835.68,57302.75,30766.574,30685.021,30774.543,30708.824,30393.068,31594.826,30227.791,31017.75,-Inf,0
0,1,68,92783.45,92470.414,92900.51,92570.42,92389.375,95240.47,90659.41,93863.01,56658.883,56457.332,56753.637,56546.332,56324.57,58220.035,55442.617,57253.367,30632.654,30515.396,30673.844,30563.625,30446.885,31647.607,30012.629,30959.07,-Inf,0
0,1,69,92289.18,91823.64,92455.28,91914.26,91130.12,95156.75,91766.164,93727.18,56251.766,56028.266,56267.824,56041.246,55625.297,58136.523,56092.773,57199.566,30486.523,30346.291,30459.098,30350.533,29968.336,31524.555,30438.088,30883.83,-Inf,0
0,1,70,92525.016,92138.984,92622.53,92260.445,91815.98,95009.04,92447.42,93477.55,56503.1,56311.32,56548.875,56336.348,55843.844,58036.688,56288.438,57201.574,30710.377,30594.361,30716.896,30596.121,30173.664,31457.18,30320.623,30820.39,-Inf,0
0,1,71,93607.83,93398.234,93576.41,93398.234,92747.25,95042.375,92503.75,94539.29,57047.934,56915.17,57067.605,56922.4,56518.895,58236.23,56183.11,57684.17,30914.879,30841.709,30929.16,30866.133,30547.17,31634.67,30146.135,31027.375,-Inf,0
0,1,72,93277.734,92995.34,93420.266,93142.86,92733.266,94857.31,90681.25,94689.3,56733.562,56465.76,56809.58,56553.957,56256.316,58245.062,55194.758,57713.48,30496.457,30338.424,30535.992,30401.969,30255.734,31655.473,29647.508,31169.988,-Inf,0
0,1,73,92125.57,91401.97,91889.55,91292.58,90326.445,94459.97,92564.48,94663.43,55919.996,55680.035,55849.465,55625.965,54911.3,57830.316,56212.953,57697.29,30166.834,30056.613,30116.33,29995.863,29441.143,31182.406,30336.148,31061.113,-Inf,0
0,1,74,92780.586,92439.95,92677.516,92374.05,91424.96,94335.06,92430.945,94788.914,56169.86,55959.61,56134.797,55924.547,55446.094,57688.055,55606.293,57755.1,30261.012,30129.783,30240.107,30123.574,29754.83,31101.27,29628.775,31046.521,-Inf,0
0,1,75,93810.33,93431.766,93781.78,93373.33,91347.76,95008.27,92132.27,94863.82,56932.84,56708.805,56907.277,56683.777,55664.508,58094.77,55876.77,57841.56,30591.361,30447.092,30585.875,30451.336,29988.93,31445.898,29883.367,31180.855,-Inf,0
0,1,76,93985.05,93665.68,93986.58,93664.15,92248.56,95297.56,92275.58,94620.71,57196.754,56921.598,57188.055,56918.785,56053.293,58468.027,56250.83,57924.535,30912.705,30760.88,30910.635,30752.912,30316.38,31826.959,30351.879,31386.184,-Inf,0
0,1,77,93819.33,93621.234,93850.94,93643.266,92862,95361.74,92430.76,94362.08,57376.36,57179.625,57421.06,57227.67,56598.66,58494.66,56171.332,57684.305,31069.6,30935.887,31116.379,30968.074,30588.877,31840.104,30157.83,31154.879,-Inf,0
0,1,78,93807.64,93546.516,93901.13,93652.08,93089.6,95113.07,91040.66,94259.58,56903.664,56689.26,57001.76,56767.688,56433.242,58332.457,55124.9,57295.258,30573.768,30445.54,30596.225,30490.973,30336.045,31632.29,29288.803,30825.771,-Inf,0
0,1,79,92685.75,92177.11,92951.28,92488.62,92350.68,95130.695,90966.125,94566.11,56208.938,55885.2,56314.668,56051.953,55956.934,58255.1,55214.434,57538.832,30166.938,29981.271,30185.463,30030.016,29887.197,31578.473,29512.76,30941.684,-Inf,0
0,1,80,93240.18,92850.125,93340.57,92877.14,92130.17,95205.22,92631.15,94941.6,56933.64,56773.043,56941.54,56757.785,56257.387,58359.355,56388.543,58007.777,30838.502,30735.525,30799.07,30722.797,30259.77,31643.26,30453.508,31303.598,-Inf,0
0,1,81,94109,93947.5,94000.56,93814.54,92564.48,94864.59,93857.65,94961.53,57473.656,57323.63,57428.418,57262.2,56481.152,58231.68,57085.14,57986.367,31144.426,31054.387,31107.168,31029.135,30620.441,31625.148,30761.398,31217.387,-Inf,0
0,1,82,94832.21,94670.13,94828.19,94659.6,93889.06,95016.7,93350.53,95139.125,57960,57867.79,57947.82,57860.297,57324.03,58334.062,56621.812,57980.344,31304.322,31252.367,31307.115,31259.82,31018.889,31694.592,30343.393,31255.887,-Inf,0
0,1,83,95033.945,94908.46,95068.05,94950.03,94631.055,95360.98,92916.984,95151,58120.062,58023.84,58152.316,58062.785,57861.633,58601.86,56366.594,58205.582,31551.254,31461.424,31554.463,31467.426,31347.168,31909.754,30190.223,31558.914,-Inf,0
0,1,84,94936.05,94809.03,94967.086,94847.16,94588.72,95250.625,93266.05,95163.07,58121.938,57996.938,58159.145,58030.664,57799.27,58582.723,56645.5,58403.254,31616.041,31545.355,31645.848,31580.854,31476.533,31956.324,30518.088,31856.352,-Inf,0
0,1,85,94451.55,94351.54,94459.97,94382,94123.56,94791.02,92411.984,94794.47,57726.062,57601.598,57780.266,57649.242,57420.523,58223.25,56149.52,58139.47,31355.24,31248.953,31376.455,31275.447,31156.016,31698.94,30206.264,31768.28,-Inf,0
