Ix,t,l,g.300.41N.2E,g.300.42N.2E,g.300.41N.3E,g.300.42N.3E,g.300.45N.5E,g.300.35N.5E,g.300.45N.10W,g.300.35N.10W,g.500.41N.2E,g.500.42N.2E,g.500.41N.3E,g.500.42N.3E,g.500.45N.5E,g.500.35N.5E,g.500.45N.10W,g.500.35N.10W,g.700.41N.2E,g.700.42N.2E,g.700.41N.3E,g.700.42N.3E,g.700.45N.5E,g.700.35N.5E,g.700.45N.10W,g.700.35N.10W,trend,Ix.lag1
1,1,46,92407.96,92291.48,92426.54,92216.95,91314.99,94413.04,93608.98,94464,56508.188,56398.848,56501.094,56372.617,55862.582,57766.08,56627.566,57811.18,30630.584,30557.828,30599.64,30523.883,30282.643,31242.64,30455.371,31183.648,-Inf,1
1,1,47,94789.11,94670.13,94749.26,94630.09,93995.77,94549.25,93946.16,94968.62,57625.02,57535.082,57581.523,57499.35,57020.098,57760.324,56747.08,58075.098,31135.215,31029.963,31128.488,31021.477,30674.982,31218.525,30292.268,31383.494,-Inf,1
1,1,48,94962.1,94787.766,94980.69,94821.67,94045.77,95139.695,93286.734,94298.28,57853.47,57733.69,57869.395,57756.977,57260.727,58003.9,56706.395,57854.94,31253.195,31192.652,31262.406,31202.174,30971.695,31302.873,30532.887,31370.143,-Inf,1
1,1,49,94442.54,94282.57,94542.164,94365.72,93879.68,95037.2,92788.055,94529.13,57629.3,57510.86,57673.734,57558.504,57157.543,58027.32,56684.848,57904.863,31250.713,31171.438,31264.166,31197.414,30950.48,31360.932,30755.914,31302.666,-Inf,1
1,1,50,93581.77,93294.21,93655.15,93342.1,92677.13,94830.11,93343.25,94446.75,57226.734,57042.047,57268.758,57120.605,56655.27,58049.535,57026.254,57881.31,31142.77,31013.508,31169.264,31049.316,30715.242,31572.988,31014.543,31339.51,-Inf,1
1,1,51,93770.86,93519.89,93767.22,93509.35,92539.766,94815.734,93558.4,94685.84,57314.66,57145.23,57309.71,57146.703,56536.023,58117.656,57205.453,58114.977,31092.266,30971.695,31060.492,30902.252,30567.764,31643.984,31124.451,31545.977,-Inf,1
1,1,52,93667.41,93441.53,93644.03,93395.36,92344.35,94517.445,93689.44,94172.414,57218.168,57045.523,57198.227,57030,56357.227,57991.184,57326.438,57787.758,31025.926,30914.361,30986.91,30866.857,30489.11,31544.838,31197.414,31398.604,-Inf,1
1,1,53,93850.555,93652.08,93794.62,93562.04,92127.1,94803.09,94802.71,94133.71,57280.266,57109.496,57210.004,57016.75,55841.57,57957.86,57756.844,57771.566,30976.768,30861.27,30894.49,30783.236,30146.238,31498.68,31453.455,31405.02,-Inf,1
1,1,54,94690.63,94570.7,94606.53,94449.625,93321.22,94845.625,94805.2,93946.54,57635.055,57537.09,57537.758,57415.57,56563.06,57979.54,57958.527,57523.04,31057.803,30971.799,31008.85,30919.639,30358.088,31469.393,31623.803,31201.553,-Inf,1
1,1,55,94509.78,94409.78,94523.195,94406.33,93771.24,95022.26,94100.76,93872.78,57709.6,57633.582,57689.527,57609.492,57150.582,58177.344,57478.605,57506.844,31260.234,31237.258,31237.982,31205.797,30886.832,31561.293,31221.734,31158.81,-Inf,1
1,1,56,93767.6,93674.69,93777.18,93667.22,93370.08,94931.07,93911.09,94218.195,57470.71,57346.113,57461.207,57341.965,56980.348,58120.2,57274.38,57687.918,31279.586,31195.55,31245.02,31148.254,30784.271,31568.021,31067.014,31252.574,-Inf,1
1,1,57,94039.836,93896.73,93951.33,93799.79,92873.69,94639.67,94699.26,94278.734,57419.184,57299.004,57362.707,57234.766,56472.453,57936.98,57727.535,57571.484,31201.656,31075.707,31137.182,30970.145,30459.201,31550.635,31326.676,31146.393,-Inf,1
1,1,58,94485.836,94363.8,94424.914,94292.914,93541.92,94717.45,94073.37,93769.9,57572.69,57477.668,57495.203,57391.883,56749.22,57856.15,57319.883,57238.645,31047.867,30971.592,30986.29,30895.111,30434.777,31341.062,30943.34,30923.78,-Inf,1
1,1,59,93892.32,93712.81,94032.17,93859.75,93719.33,94872.83,92452.21,93946.34,57327.777,57247.21,57410.22,57306.496,57113.242,57962.008,56068.55,57284.95,31018.475,30947.479,31065.771,30995.5,30800.002,31414.23,30133.51,30836.018,-Inf,1
