"STAID";"predict.test";"t";"l"
"232";2,72251829659879e-05;55;7
"232";0,00020877205836703;55;8
"232";7,60232706741315e-05;55;9
"232";7,85987983656615e-05;55;10
"232";0,000687594378442063;55;11
"232";0,0152452422479607;55;12
"232";0,0139537588850607;55;13
"232";0,00281688369138076;55;14
"232";1,79852045787577e-05;55;15
"232";1,44396965411558e-08;55;16
"232";1,65335085975085e-06;55;17
"232";3,52247334636665e-05;55;18
"232";0,000161845747359453;55;19
"232";0,000502615813100043;55;20
"232";8,29684430318901e-05;55;21
"232";1,33982359476533e-05;55;22
"232";5,28561691046679e-06;55;23
"232";1,48579669349812e-08;55;24
"232";6,61110640173562e-06;55;25
"232";1,61144895549375e-05;55;26
"232";0,00032746199724153;55;27
"232";4,01582014190384e-05;55;28
"232";2,73037614664914e-06;55;29
"232";0,000659267765818412;55;30
"232";2,39629936388846e-06;55;31
"232";1,43310741184399e-09;55;32
"232";1,52167385812357e-07;55;33
"232";0,000373738796509384;55;34
"232";0,00340805963656897;55;35
"232";1,44337224150253e-05;55;36
"232";3,79540367743693e-05;55;37
"232";0,000705667303420373;55;38
"232";0,000183337998727243;55;39
"232";0,000245762868393501;55;40
"232";0,000599581584685708;55;41
"232";0,000335929566842553;55;42
"232";0,00218741073754371;55;43
"232";0,00758718849898539;55;44
"232";0,0238334686846013;55;45
"232";0,115460135038851;55;46
"232";0,140033846569551;55;47
"232";0,0477611726217228;55;48
"232";3,43183244182873e-05;55;49
"232";8,31522789610493e-07;55;50
"232";0,00312300468496992;55;51
"232";0,0178079848715332;55;52
"232";0,0138510467498607;55;53
"232";0,0021488442007084;55;54
"232";0,00179501816429627;55;55
"232";0,00777271078833108;55;56
"232";0,0200028581037401;55;57
"232";0,0129184945399393;55;58
"232";0,00152686382736002;55;59
"232";0,00287268944418758;55;60
"232";0,00647035731161489;55;61
"232";0,000172227653293675;55;62
"232";1,07208876709489e-06;55;63
"232";5,48329953681874e-05;55;64
"232";0,000835854131738258;55;65
"232";0,00864121890402065;55;66
"232";0,0194967622759229;55;67
"232";0,0265664106688066;55;68
"232";0,00337509322458333;55;69
"232";0,00500160145959988;55;70
"232";0,0160409339785835;55;71
"232";0,0199054826503112;55;72
"232";0,0171911533604461;55;73
"232";0,000270260797663634;55;74
"232";0,000129958518588666;55;75
"232";0,000491560037978016;55;76
"232";0,00121174354550034;55;77
"232";0,0137781867512631;55;78
"232";0,00326743225599699;55;79
"232";0,000450786231976905;55;80
"232";0,000177820366331198;55;81
"232";0,000196896031762224;55;82
"232";1,70367131535379e-05;55;83
"232";0,00046816901388303;55;84
"232";0,0104484291307809;55;85
"232";0,09501553598252;55;86
"232";0,122720372712456;55;87
"232";0,0986314780282611;55;88
"232";0,0461930710880071;55;89
"232";0,00619472415448911;55;90
"232";0,00369231205507161;55;91
"232";0,014891906422497;55;92
"232";0,000284946983465816;56;1
"232";0,00344276277748754;56;2
"232";0,020015697162762;56;3
"232";0,0302392769833165;56;4
"232";0,00531255196445755;56;5
"232";0,00417834863796089;56;6
"232";0,00319108135109233;56;7
"232";0,00066553375155372;56;8
"232";3,76881461107874e-05;56;9
"232";4,34701592635148e-07;56;10
"232";1,85446200583096e-08;56;11
"232";9,49620714601904e-09;56;12
"232";4,16536891821618e-11;56;13
"232";1,25637617184699e-12;56;14
"232";2,211852277829e-11;56;15
"232";1,34476766382542e-06;56;16
"232";0,000483650197863093;56;17
"232";0,00479222973497238;56;18
"232";0,0081012651019911;56;19
"232";0,00802039465239181;56;20
"232";0,0134014724613519;56;21
"232";0,00468045067361554;56;22
"232";7,20350873981271e-05;56;23
"232";0,000134394906601069;56;24
"232";0,015775300435437;56;25
"232";0,174724768423171;56;26
"232";0,245719166336906;56;27
"232";0,192348678021318;56;28
"232";0,337221586277253;56;29
"232";0,478090468683797;56;30
"232";0,0885352628643777;56;31
"232";0,0332721576242139;56;32
"232";0,249305461044898;56;33
"232";0,345290409468758;56;34
"232";0,390362129005668;56;35
"232";0,431377440723033;56;36
"232";0,550504303346171;56;37
"232";0,146268271784673;56;38
"232";0,122090067618942;56;39
"232";0,157086075360325;56;40
"232";0,180491948747266;56;41
"232";0,191188061867824;56;42
"232";0,272702427041967;56;43
"232";0,330250881664416;56;44
"232";0,291926143967992;56;45
"232";0,313400820346435;56;46
"232";0,212445678213802;56;47
"232";0,0569148028993373;56;48
"232";0,0666559109890267;56;49
"232";0,0746015078414604;56;50
"232";0,112045561139591;56;51
"232";0,0497590869895017;56;52
"232";0,0551799911580161;56;53
"232";0,0141243755297043;56;54
"232";0,0114266831863466;56;55
"232";0,0813367217751568;56;56
"232";0,136615448372808;56;57
"232";0,160543390873332;56;58
"232";0,0266901674213904;56;59
"232";0,00113465878228546;56;60
"232";1,25041734300743e-05;56;61
"232";0,00169151947220754;56;62
"232";0,0542460813828407;56;63
"232";0,309891803788331;56;64
"232";0,150291486920302;56;65
"232";0,142957600167734;56;66
"232";0,144419934845965;56;67
"232";0,0465978360886789;56;68
"232";0,0144383588483131;56;69
"232";0,0240098612494106;56;70
"232";0,0285329155791254;56;71
"232";0,0201459853319745;56;72
"232";0,0344789205466407;56;73
"232";0,000727240155742988;56;74
"232";5,34880830187767e-05;56;75
"232";1,36555073549031e-06;56;76
"232";0,000207649316789847;56;77
"232";0,000201976956959308;56;78
"232";0,000269924433817891;56;79
"232";0,00193285905009338;56;80
"232";0,0345049097335642;56;81
"232";0,127447887436042;56;82
"232";0,00397888294645845;56;83
"232";0,0014602601219536;56;84
"232";7,09439346924219e-05;56;85
"232";0,00411316605407588;56;86
"232";0,0521769126584337;56;87
"232";0,178972415422;56;88
"232";0,122491373933263;56;89
"232";0,247234478570702;56;90
"232";0,163831537322885;56;91
"232";0,00433932626754769;56;92
"232";1,46782432331597e-05;57;1
"232";1,84591366837322e-05;57;2
"232";4,66024411803101e-07;57;3
"232";2,29597915328169e-07;57;4
"232";3,38629496312063e-05;57;5
"232";3,25585621837819e-05;57;6
"232";0,00796968350977032;57;7
"232";0,0375430908071494;57;8
"232";0,0141330124913095;57;9
"232";0,000198132835455196;57;10
"232";0,000161501899685195;57;11
"232";0,00205848697272026;57;12
"232";0,00676055825432869;57;13
"232";3,42149720450773e-05;57;14
"232";2,28998143038155e-12;57;15
"232";2,22044604925031e-16;57;16
"232";2,12448271261351e-11;57;17
"232";8,62015710012624e-07;57;18
"232";0,000775474115536343;57;19
"232";0,0181862529700401;57;20
"232";0,126430316863169;57;21
"232";0,10435511902751;57;22
"232";0,0213393985319452;57;23
"232";0,00251796308800553;57;24
"232";0,00241074667977326;57;25
"232";0,00030291610094153;57;26
"232";0,0153882250865957;57;27
"232";0,0589234260337268;57;28
"232";0,0110852277605258;57;29
"232";0,00463261525514933;57;30
"232";0,00980327142178618;57;31
"232";0,0468717792575268;57;32
"232";0,085056819112886;57;33
"232";0,0293894650871507;57;34
"232";0,0232833250483818;57;35
"232";0,0813451060544924;57;36
"232";0,0845967320832514;57;37
"232";0,139722610521072;57;38
"232";0,172040160816771;57;39
"232";0,410171581330987;57;40
"232";0,0484036176629694;57;41
"232";0,00343923925466835;57;42
"232";0,00126385640163658;57;43
"232";0,00163968229900734;57;44
"232";0,00795656846969143;57;45
"232";0,0325260923872714;57;46
"232";0,086346233337343;57;47
"232";0,149222237574227;57;48
"232";0,204081653419753;57;49
"232";0,123689473295247;57;50
"232";0,0297072542055017;57;51
"232";0,00100988219462027;57;52
"232";0,00307651114140707;57;53
"232";0,0136497407299233;57;54
"232";0,0525801546346598;57;55
"232";0,0872774361111234;57;56
"232";0,0822756010973894;57;57
"232";0,102704138260557;57;58
"232";0,244253345272928;57;59
"232";0,0542478531620238;57;60
"232";0,00410528476467308;57;61
"232";0,0253436081991619;57;62
"232";0,112878597750093;57;63
"232";0,174337723036952;57;64
"232";0,0455525536934626;57;65
"232";0,0212754318334232;57;66
"232";0,0309434039789236;57;67
"232";0,122095982513351;57;68
"232";0,165906934640585;57;69
"232";0,0145582150157283;57;70
"232";0,000319200868651141;57;71
"232";0,00533696446293107;57;72
"232";0,0584742559691068;57;73
"232";0,170622991827257;57;74
"232";0,125210824603344;57;75
"232";0,0220626215801038;57;76
"232";0,0090029298977498;57;77
"232";0,0129908711431904;57;78
"232";0,0132578347887923;57;79
"232";0,0231296963213485;57;80
"232";0,00971926406910069;57;81
"232";0,020210842078693;57;82
"232";0,191463445256581;57;83
"232";0,492109525006428;57;84
"232";0,307558465959687;57;85
"232";0,133583545490106;57;86
"232";0,0696057840421783;57;87
"232";0,192709331588963;57;88
"232";0,108260450856197;57;89
"232";0,0342691567720371;57;90
"232";0,0206166459159;57;91
"232";0,00991822467489962;57;92
"232";0,00153361251745823;58;1
"232";0,000740023207224808;58;2
"232";6,45438643041038e-06;58;3
"232";5,1801155464832e-08;58;4
"232";2,77138478103953e-05;58;5
"232";0,000125095228285194;58;6
"232";0,00138096959768477;58;7
"232";0,00252886191035743;58;8
"232";0,0132544925665233;58;9
"232";0,0676154820816717;58;10
"232";0,251564458448572;58;11
"232";0,234490737813282;58;12
"232";0,0895348945106384;58;13
"232";0,126643099419953;58;14
"232";0,214681399986917;58;15
"232";0,439545964334598;58;16
"232";0,457811125332264;58;17
"232";0,211531672900267;58;18
"232";0,114532060073869;58;19
"232";0,0712077964902674;58;20
"232";0,153069890395445;58;21
"232";0,279787458769343;58;22
"232";0,222957927419811;58;23
"232";0,0987252641267806;58;24
"232";0,0111951459536116;58;25
"232";0,000963372183237282;58;26
"232";1,15604376842485e-06;58;27
"232";1,6981256807699e-07;58;28
"232";4,91173136416508e-13;58;29
"232";1,16699313160086e-10;58;30
"232";1,15583528385303e-06;58;31
"232";0,00468774496654428;58;32
"232";0,0432943613454933;58;33
"232";0,0318516122984225;58;34
"232";0,00926730831739627;58;35
"232";0,00303733003949201;58;36
"232";0,000454869209059101;58;37
"232";3,69773990240329e-05;58;38
"232";0,00171160076036999;58;39
"232";0,00198835770407771;58;40
"232";0,0307592734788428;58;41
"232";0,113698174085239;58;42
"232";0,419441452330729;58;43
"232";0,236472749466192;58;44
"232";0,0729360698229133;58;45
"232";0,104959341548481;58;46
"232";0,0903060224042536;58;47
"232";0,057313924872466;58;48
"232";0,00681033198499963;58;49
"232";0,00118146902922198;58;50
"232";0,000426523966948476;58;51
"232";0,00227160686991954;58;52
"232";0,00529590762299472;58;53
"232";0,0108541525699829;58;54
"232";0,00179260616669947;58;55
"232";0,0114988448285479;58;56
"232";0,0838855964845505;58;57
"232";0,105639237765835;58;58
"232";0,196173771487641;58;59
"232";0,0434824126312284;58;60
"232";0,00361792290787215;58;61
"232";0,0020947822601545;58;62
"232";0,0517464521521625;58;63
"232";0,133207191385967;58;64
"232";0,300751235674332;58;65
"232";0,0881183753755585;58;66
"232";0,0356674968271781;58;67
"232";0,0062543162246807;58;68
"232";0,000422605673834824;58;69
"232";1,1305308248741e-05;58;70
"232";0,000160470334262222;58;71
"232";0,00128423967183812;58;72
"232";0,00845158332549345;58;73
"232";0,00934385426160824;58;74
"232";0,0295641604669635;58;75
"232";0,0367253669373707;58;76
"232";0,0461336829587949;58;77
"232";0,13225629147988;58;78
"232";0,116264323264423;58;79
"232";0,0412530088781835;58;80
"232";0,0369727605091618;58;81
"232";0,16150277880895;58;82
"232";0,187115663513622;58;83
"232";0,0857944267366505;58;84
"232";0,0300570179426679;58;85
"232";0,0188482804476564;58;86
"232";0,0107763300985123;58;87
"232";0,00201683419952667;58;88
"232";0,000548441725400987;58;89
"232";1,39418947471559e-05;58;90
"232";4,93860021441225e-05;58;91
"232";0,000127727908779813;58;92
"232";2,04976473847566e-07;59;1
"232";1,02477920008725e-07;59;2
"232";2,89271461952685e-07;59;3
"232";7,49931631756917e-09;59;4
"232";1,08252862110949e-13;59;5
"232";2,07682872973384e-12;59;6
"232";1,06772730144788e-06;59;7
"232";4,6911336866023e-07;59;8
"232";9,91726997733702e-09;59;9
"232";1,29407595210154e-10;59;10
"232";3,78851983297374e-09;59;11
"232";2,81972519804402e-07;59;12
"232";3,50098862691897e-05;59;13
"232";0,00107524304962373;59;14
"232";0,00338338601936858;59;15
"232";0,00347985204233987;59;16
"232";0,0138569843656869;59;17
"232";0,0440635225260629;59;18
"232";0,0741463022210728;59;19
"232";0,056306421126963;59;20
"232";0,0198472121255928;59;21
"232";0,0435357915388816;59;22
"232";0,0562550651008788;59;23
"232";0,048738205466163;59;24
"232";0,0606970892203221;59;25
"232";0,102585138121058;59;26
"232";0,0141898360664126;59;27
"232";0,000358891280157852;59;28
"232";8,7621979176396e-05;59;29
"232";0,000167693035693326;59;30
"232";3,39981610993086e-05;59;31
"232";0,000178052656542877;59;32
"232";0,000323513240199795;59;33
"232";4,18051450816107e-05;59;34
"232";0,000345552575259041;59;35
"232";0,00167677109144962;59;36
"232";0,0045842732672596;59;37
"232";0,0136648409965628;59;38
"232";0,0200152427340926;59;39
"232";0,0213028940409501;59;40
"232";0,000650088880786128;59;41
"232";0,000553525117912822;59;42
"232";0,00187222583660278;59;43
"232";0,0054353919752871;59;44
"232";0,000419114680097897;59;45
"232";0,00135153410017286;59;46
"232";0,00826938111502729;59;47
"232";0,00111047223902115;59;48
"232";0,00139962634176928;59;49
"232";6,51500558023557e-05;59;50
"232";0,000259123595509871;59;51
"232";0,00134071533668624;59;52
"232";0,018566641998981;59;53
"232";0,0220494711510022;59;54
"232";0,0203370179017204;59;55
"232";0,0206101303149193;59;56
"232";0,0220932254348548;59;57
"232";0,0370827738949864;59;58
"232";0,0587248118221352;59;59
"232";0,0687322880572675;59;60
"232";0,0863406520716098;59;61
"232";0,109184183254052;59;62
"232";0,327341510674341;59;63
"232";0,34173759734435;59;64
"232";0,303963701908371;59;65
"232";0,163491424060294;59;66
"232";0,33412851938542;59;67
"232";0,0317438630300987;59;68
"232";0,00321778718771315;59;69
"232";0,000534364474514424;59;70
"232";0,0117911155206694;59;71
"232";0,0820496013646416;59;72
"232";0,101429458477449;59;73
"232";0,009794861032091;59;74
"232";0,00590381137972719;59;75
"232";0,0130095971942372;59;76
"232";0,00813312861032736;59;77
"232";0,00386515812508913;59;78
"232";0,00254650022111182;59;79
"232";0,00689775658884599;59;80
"232";0,0127645648952308;59;81
"232";0,00883920000392897;59;82
"232";0,00681184396466286;59;83
"232";0,00934393281395898;59;84
"232";0,0172111783102995;59;85
"232";0,00816697738899845;59;86
"232";0,0177138000401439;59;87
"232";0,0930046315744484;59;88
"232";0,0257734471438986;59;89
"232";0,00815200715577484;59;90
"232";0,0143519600942958;59;91
"232";0,0217590124414355;59;92
"232";0,0189929308993474;60;1
"232";0,0181276865078023;60;2
