"STAID","STAAB","AUC01","AUC02","AUC03","AUC04","AUC05","AUC06","AUC07","AUC08","AUC09","AUC10","AUC11","AUC12","AUC13","AUC14","AUC15","AUC16","AUC17","AUC18","AUC19","AUC20","AUC21","AUC22","AUC23","AUC24","AUC25","AUC26","AUC27","AUC28","AUC29","AUC30","AUC31","AUC32","AUC33","AUC34","AUC35","AUC36","AUC37","AUC38","AUC39","AUC40","AUC41","AUC42","AUC43","AUC44","AUC45","AUC46","AUC47","AUC48","AUC49","AUC50","AUC51"
336,"ALBACE",0.930889968926779,0.924723129631105,0.925774838658274,0.92526491912995,0.9240857302207,0.922364751812605,0.922237271930523,0.923575810692375,0.924723129631105,0.924069795235439,0.924739064616365,0.923304915942953,0.92411760019122,0.923065891164051,0.924500039837463,0.923862640427058,0.922061987092662,0.923878575412318,0.922030117122142,0.923113696119831,0.921297107800175,0.922555971635726,0.922030117122142,0.924308820014341,0.922555971635726,0.923352720898733,0.922922476296709,0.92419727511752,0.926810612700183,0.92531272408573,0.924372559955382,0.921536132579077,0.926619392877062,0.924946219424747,0.923448330810294,0.924707194645845,0.924053860250179,0.924021990279659,0.925201179188909,0.92300215122301,0.924436299896423,0.92418134013226,0.924404429925902,0.923990120309139,0.922157597004223,0.924930284439487,0.924627519719544,0.923782965500757,0.923894510397578,0.924340689984862,0.92524898414469
414,"BURGOS",0.956554499529069,0.960835687986985,0.957325113451494,0.954893398407398,0.956691497559723,0.956092131175614,0.954756400376745,0.957616234266632,0.954482404315438,0.957136741159346,0.955664012329823,0.955869509375803,0.956331877729258,0.956931244113366,0.956451751006079,0.956605873790564,0.956057881667951,0.956486000513743,0.957102491651682,0.956194879698604,0.956451751006079,0.951793817963867,0.955544139053001,0.957222364928504,0.956862745098039,0.956708622313554,0.95480777463824,0.955338642007021,0.956177754944773,0.956914119359534,0.95511602020721,0.953523418100865,0.959311584895967,0.957170990667009,0.956640123298228,0.956742871821218,0.956537374775238,0.957530610497474,0.953643291377686,0.956383251990753,0.957085366897851,0.957205240174672,0.956777121328881,0.956349002483089,0.956177754944773,0.956486000513743,0.957444986728316,0.957119616405514,0.956366127236921,0.956092131175614,0.956725747067386
416,"CIUDAD",0.955364166280078,0.950099840658343,0.93622299764013,0.946650799733758,0.942899211359648,0.948627443070655,0.947921499021763,0.945238911635975,0.945319590955848,0.93973254805462,0.94457330724702,0.94687266786341,0.946892837693378,0.945763327215152,0.949393896609452,0.947860989531858,0.945682647895278,0.946126384154582,0.945218741806007,0.949010669840053,0.948607273240687,0.940075435164082,0.948708122390528,0.947034026503157,0.945259081465943,0.946126384154582,0.946590290243853,0.947982008511668,0.949434236269388,0.94953508541923,0.948607273240687,0.949615764739103,0.948889650860243,0.948405574941003,0.947558442082333,0.949756953548882,0.946852498033442,0.947155045482967,0.948062687831542,0.943302607959015,0.950180519978217,0.948224046471288,0.947618951572238,0.948849311200307,0.94711470582303,0.947760140382017,0.949494745759293,0.945259081465943,0.94832489562113,0.948405574941003,0.949736783718913
420,"A CORU",0.814379295532646,0.789867912371134,0.778860609965636,0.786163015463918,0.777840420962199,0.789438359106529,0.777759879725086,0.787773840206186,0.785840850515464,0.776954467353952,0.790190077319588,0.784256872852234,0.786458333333333,0.787317439862543,0.781840635738832,0.783048754295533,0.788847723367698,0.786243556701031,0.788230240549828,0.784928049828179,0.783505154639175,0.779129080756014,0.78930412371134,0.787022121993127,0.78661941580756,0.788686640893471,0.780095575601375,0.78455219072165,0.791935137457045,0.787451675257732,0.787183204467354,0.787881228522337,0.793465420962199,0.785196520618557,0.789599441580756,0.791290807560137,0.78796176975945,0.787263745704467,0.776041666666667,0.784498496563574,0.784928049828179,0.787693298969072,0.78551868556701,0.784579037800687,0.782270189003436,0.785223367697594,0.786834192439863,0.785948238831615,0.788471864261168,0.788740335051546,0.792660008591065
421,"MURCIA",0.887542533081286,0.874555765595463,0.86047258979206,0.859168241965974,0.860434782608696,0.865141776937618,0.863062381852552,0.867145557655955,0.851890359168242,0.86187145557656,0.864725897920605,0.862060491493384,0.860964083175803,0.869659735349716,0.864442344045369,0.867391304347826,0.860056710775047,0.865973534971645,0.861758034026465,0.867958412098299,0.86406427221172,0.870264650283554,0.858638941398866,0.86109640831758,0.867958412098299,0.863119092627599,0.862117202268431,0.859432892249527,0.861058601134216,0.863648393194707,0.862211720226843,0.861039697542533,0.862948960302457,0.869754253308128,0.861890359168242,0.867769376181474,0.861587901701323,0.868317580340265,0.869130434782609,0.86187145557656,0.861776937618147,0.858260869565217,0.862797731568998,0.872117202268431,0.867561436672968,0.863194706994329,0.861531190926276,0.866710775047259,0.866351606805293,0.861550094517958,0.864120982986767
423,"SEVILL",0.930514935759092,0.92654147925533,0.929062708001372,0.924282458298877,0.919461868936445,0.924403477278687,0.925654006736723,0.926017063676153,0.923959741019383,0.92230581496198,0.924685854898243,0.923959741019383,0.923677363399827,0.924181609149035,0.923475665100143,0.92472619455818,0.92218479598217,0.92291090986103,0.923959741019383,0.922588192581537,0.927691159563525,0.923435325440207,0.924282458298877,0.923697533229795,0.923132777990681,0.925109421327578,0.924060590169225,0.92424211863894,0.923455495270175,0.923939571189415,0.923253796970491,0.91625486597148,0.924564835918433,0.924907723027895,0.92436313761875,0.922023437342423,0.923374815950302,0.923838722039573,0.923173117650618,0.92363702373989,0.92315294782065,0.922931079690998,0.924302628128845,0.922104116662297,0.923112608160713,0.922870570201093,0.923112608160713,0.924040420339256,0.923213457310555,0.924040420339257,0.927005385344602
424,"SORIA ",0.948330160311727,0.951799725993274,0.947636247175418,0.948098855932957,0.948970695514474,0.947654039819938,0.944949557852784,0.94722701635144,0.949593438072701,0.947565076597335,0.946622066437735,0.946782200238421,0.947387150152127,0.94628400619184,0.945554507766489,0.945821397434301,0.944753838763055,0.948045477999395,0.945590093055531,0.945679056278135,0.945874775367863,0.943259256623312,0.94557230041101,0.942672099354127,0.94817002651104,0.946070494457591,0.948063270643916,0.947707417753501,0.947725210398021,0.946230628258278,0.947849758909667,0.947013504617191,0.946675444371297,0.947582869241855,0.948952902869954,0.947867551554187,0.945981531234987,0.948721598491184,0.944540327028806,0.946657651726776,0.946835578171984,0.948472501467893,0.94909524402612,0.948881732291871,0.948970695514474,0.947298186929523,0.948009892710354,0.94793872213227,0.946799992882942,0.946960126683629,0.948614842624059
1393,"BILBAO",0.914128352490421,0.897581417624521,0.908261494252874,0.907998084291188,0.897198275862069,0.902729885057471,0.90632183908046,0.902586206896552,0.903304597701149,0.905962643678161,0.906920498084291,0.904430076628353,0.900838122605364,0.901580459770115,0.904861111111111,0.905675287356322,0.900407088122605,0.906681034482759,0.904909003831418,0.904741379310345,0.907590996168582,0.902658045977011,0.906273946360153,0.899592911877395,0.906202107279694,0.905555555555556,0.904861111111111,0.907567049808429,0.902634099616858,0.906537356321839,0.908285440613027,0.90713601532567,0.907183908045977,0.904454022988506,0.908979885057471,0.905316091954023,0.904932950191571,0.904693486590038,0.905531609195402,0.904932950191571,0.906848659003831,0.907782567049808,0.908189655172414,0.909027777777778,0.904693486590038,0.904070881226054,0.905435823754789,0.903903256704981,0.901460727969349,0.902969348659004,0.907471264367816
1394,"SANTIA",0.928559922680412,0.921794458762887,0.930063359106529,0.914653135738832,0.909766967353952,0.922841494845361,0.930466065292096,0.931378865979381,0.92370060137457,0.916398195876289,0.918009020618557,0.917740549828179,0.926197379725086,0.912827534364261,0.923539518900344,0.918680197594502,0.929526417525773,0.918653350515464,0.918223797250859,0.922787800687285,0.927271262886598,0.919270833333333,0.919834621993127,0.912612757731959,0.919405068728522,0.918545962199313,0.92638530927835,0.914626288659794,0.9196735395189,0.927137027491409,0.923297895189003,0.920613187285223,0.92004939862543,0.926009450171821,0.924022766323024,0.919512457044674,0.927271262886598,0.920183634020619,0.930278135738832,0.918868127147766,0.92786189862543,0.926895403780069,0.919378221649485,0.918035867697594,0.91430412371134,0.925204037800687,0.919136597938144,0.921955541237113,0.914975300687285,0.919700386597938,0.924613402061856
1396,"PONFER",0.95367949736405,0.940709178883513,0.937026070629017,0.943713439734238,0.942110204376399,0.943958980284538,0.943453455622156,0.941763558893623,0.94267350328591,0.942283527117787,0.94378565754315,0.941778002455406,0.942023543005705,0.94310681013938,0.944262295081967,0.943872318913844,0.941604679714018,0.941633566837582,0.94310681013938,0.940535856142125,0.944478948508702,0.941922438073229,0.943005705206904,0.94291904383621,0.944146746587708,0.94229797067957,0.942803495341951,0.941416913410847,0.94229797067957,0.942803495341951,0.940376976962519,0.94118581642233,0.944132303025926,0.942095760814617,0.942861269589081,0.943713439734238,0.943309020004333,0.941821333140752,0.943727883296021,0.942167978623529,0.943482342745721,0.941720228208276,0.942601285476999,0.947829854842204,0.942875713150863,0.942630172600563,0.943309020004333,0.942861269589081,0.941330252040153,0.942009099443923,0.943525673431068
